bandwidth,result,total_time_s,avg_time_s
512,1048580.0,25.2294,6.30734
409,1048580.0,24.9487,6.23717
307,1048580.0,24.9416,6.2354
256,1048580.0,25.022,6.2555
204,1048580.0,25.2224,6.3056
153,1048580.0,25.0885,6.27213
102,1048580.0,24.9468,6.23671
51,1048580.0,25.2334,6.30835
0,1048580.0,25.1813,6.29533
